Location,Other Location Details,Size,Bedrooms,Bathrooms,Price,Property Type,Purchase Type
Karen,,None,6,,300000,House,Rent
Karen,,None,3,2,200000,House,Rent
Karen,,None,6,8,300000,House,Rent
Gigiri,Westlands,None,4,4,430000,House,Rent
Spring Valley,Westlands,None,4,4,350000,House,Rent
Karen,,1000 ft²,2,1,90000,House,Rent
Lower Kabete,Westlands,None,4,5,200000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Gigiri,Westlands,None,3,3,450000,House,Rent
Aloo drive residence,"Creekside Mtwapa, Mtwapa",1 ac,3,3,30000,House,Rent
kitisuru,"Kitisuru, Westlands",None,6,7,500000,House,Rent
lavington,Lavington,None,5,6,450000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,5,5,500000,House,Rent
riverside,"Riverside, Westlands",None,5,6,300000,House,Rent
Runda,Westlands,None,4,4,450000,House,Rent
01,"lavington, Lavington",None,5,5,420000,House,Rent
Karen,,None,5,6,550000,House,Rent
Nyari,Westlands,None,5,6,600000,House,Rent
Runda,Westlands,None,3,3,170000,House,Rent
Nyari,Westlands,None,5,7,600000,House,Rent
lavington,Lavington,None,5,6,600000,House,Rent
Lavington,,None,4,,400000,House,Rent
riverside,"Riverside, Westlands",None,3,4,350000,House,Rent
Lavington,,None,3,,450000,House,Rent
Parklands,Westlands,None,4,2,60000,House,Rent
Runda,Westlands,None,5,4,350000,House,Rent
Rosslyn,Westlands,None,5,5,490000,House,Rent
Ridgeways,,None,3,3,390000,House,Rent
Gigiri,Westlands,None,4,4,250000,House,Rent
Runda palm,"Kiambu road, Kiambu Road",None,4,5,230000,House,Rent
Runda,Westlands,None,2,2,270000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Runda,Westlands,None,5,5,420000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Spring Valley,Westlands,None,4,4,380000,House,Rent
Rosslyn,Westlands,None,5,5,570000,House,Rent
Spring Valley,Westlands,None,2,2,260000,House,Rent
Kilifi,,None,2,2,85000,House,Rent
Karen,,None,5,6,500000,House,Rent
Kitisuru,Westlands,None,4,4,200000,House,Rent
Lavington,,None,5,,430000,House,Rent
Kitisuru,Westlands,None,4,4,280000,House,Rent
Kyuna,Westlands,None,5,5,400000,House,Rent
Nyari,Westlands,None,5,5,700000,House,Rent
Runda,Westlands,None,4,4,330000,House,Rent
Kitisuru,Westlands,None,4,4,400000,House,Rent
1,"Rosslyn Lone Tree Estate Road, Rosslyn, Westlands",2023 m²,4,4,350000,House,Rent
0724J,"Lavington Estate, Lavington",4000 ft²,5,6,300000,House,Rent
Gigiri,Westlands,None,5,6,780000,House,Rent
Runda,Westlands,None,2,2,100000,House,Rent
Rosslyn,Westlands,None,4,4,520000,House,Rent
Spring Valley,Westlands,None,2,2,150000,House,Rent
1,"Off Ruaka road, Runda, Westlands",280 m²,3,3,3000,House,Rent
Tigoni,Limuru,None,3,,50000,House,Rent
Tigoni,Limuru,None,4,5,150000,House,Rent
Gigiri,Westlands,None,4,5,430000,House,Rent
Loresho,Westlands,None,4,3,350000,House,Rent
Lavington,,None,4,4,380000,House,Rent
lavington,"Riverside, Westlands",None,4,4,250000,House,Rent
Kitisuru,Westlands,None,4,4,390000,House,Rent
Runda,Westlands,None,5,5,520000,House,Rent
Nyari,Westlands,None,6,6,650000,House,Rent
Kitisuru,Westlands,None,6,6,500000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Kitisuru,Westlands,None,6,6,1200000,House,Rent
Kitisuru,Westlands,None,6,6,500000,House,Rent
Lavington,,None,5,5,400000,House,Rent
Runda,Westlands,None,6,5,500000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Karen Hardy,Karen,None,5,4,300000,House,Rent
Riverside Drive,"Riverside, Westlands",None,4,4,250000,House,Rent
Karen,,None,2,2,85000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Westlands,Westlands Area,None,3,3,280000,House,Rent
Runda,Westlands,400 m²,4,5,380000,House,Rent
01,"Runda, Westlands",None,5,5,390000,House,Rent
01,"Kileleshwa, Nairobi",None,4,4,330000,House,Rent
01,"gigiri, Gigiri, Westlands",None,5,5,320000,House,Rent
01,"Kileleshwa, Nairobi",None,4,4,340000,House,Rent
01,"kyuna, Kyuna, Westlands",None,2,2,340000,House,Rent
Nyari,Westlands,None,4,5,500000,House,Rent
Runda,Westlands,None,2,,180000,House,Rent
Runda,Westlands,None,2,,130000,House,Rent
01,"Kitisuru, Lower Kabete, Westlands",None,6,6,500000,House,Rent
Windy Ridge,Karen,None,5,5,350000,House,Rent
Bogani Road,Karen,None,5,5,350000,House,Rent
01,"kitisuru, Kitisuru, Westlands",None,6,6,500000,House,Rent
01,"kiambu road 01, Kiambu Road",None,4,4,400000,House,Rent
01,"kiambu road, Ridgeways",None,7,6,400000,House,Rent
01,"kiambu road, Kiambu Road",None,4,4,230000,House,Rent
Nyari,Westlands,None,6,6,650000,House,Rent
Kiambu Road,,2023 m²,4,5,250000,House,Rent
Kiambu Road,,None,4,4,230000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,5,5,360000,House,Rent
01,"rosslyn, Rosslyn, Westlands",None,4,4,360000,House,Rent
01,"kitisuru, Kitisuru, Westlands",None,4,4,270000,House,Rent
01,"kitisuru, Kitisuru, Westlands",None,4,4,440000,House,Rent
Kiambu Road,,None,4,4,170000,House,Rent
01,"spring valley, Spring Valley, Westlands",None,5,5,340000,House,Rent
01,"spring valley, Spring Valley, Westlands",None,2,2,250000,House,Rent
Karen,,450 m²,7,7,270000,House,Rent
Miotoni road,Karen,500 m²,4,4,350000,House,Rent
Karen,,None,2,,70000,House,Rent
Karen,,None,4,,200000,House,Rent
Gigiri,Westlands,None,4,4,250000,House,Rent
Gigiri,Westlands,None,3,3,420000,House,Rent
Runda,Westlands,None,5,5,370000,House,Rent
Runda,Westlands,None,5,5,400000,House,Rent
Lavington,,None,5,5,450000,House,Rent
Runda,Westlands,None,4,4,300000,House,Rent
Lavington,,None,5,5,650000,House,Rent
Runda,Westlands,None,2,2,170000,House,Rent
Kimbo,Ruiru,None,3,4,65000,House,Rent
Lavington,,None,5,6,530000,House,Rent
Spring Valley,Westlands,None,4,4,350000,House,Rent
Loresho,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,4,5,350000,House,Rent
Alaska,"Runda, Westlands",None,4,4,400000,House,Rent
Shanzu road,"Spring Valley, Westlands",None,5,6,320000,House,Rent
Kiambu Road,,None,4,5,95000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Off Chalbi Drive,Lavington,None,5,6,420000,House,Rent
Nyali Mombasa,"Nyali Area, Nyali",None,5,6,300000,House,Rent
Old muthaiga road close to Gigiri,Muthaiga,None,5,5,600000,House,Rent
Off peponi road,"Kitisuru, Westlands",None,6,6,500000,House,Rent
Near lavington mall,Lavington,None,5,6,400000,House,Rent
Karen,,None,1,1,75000,House,Rent
Gigiri,Westlands,None,4,4,350000,House,Rent
Dagoretti road,"Gikambura, Kikuyu",None,4,4,80000,House,Rent
Gigiri,Westlands,None,4,5,400000,House,Rent
Gigiri,Westlands,None,4,5,430000,House,Rent
Kitisuru,Westlands,None,4,4,390000,House,Rent
Nyari,Westlands,None,4,4,450000,House,Rent
Lavington,,None,5,6,450000,House,Rent
Lavington,,None,4,4,400000,House,Rent
Kileleshwa,,None,4,5,320000,House,Rent
Galleria,Karen,None,4,4,250000,House,Rent
Lavington,,None,3,3,120000,House,Rent
lavington,Lavington,1 ac,4,3,350000,House,Rent
Westlands Area,Westlands,None,5,6,585000,House,Rent
Nyari,Westlands,None,6,7,650000,House,Rent
Kiambu Road,,300 m²,4,5,220000,House,Rent
Kiambu Road,,300 m²,4,5,260000,House,Rent
O,"Runda, Westlands",None,6,6,350000,House,Rent
Old Muthaiga,Muthaiga,1 ac,5,6,530000,House,Rent
Kitisuru road,"Kitisuru, Westlands",None,5,5,250000,House,Rent
Kiambu Road,,None,4,,200000,House,Rent
Kitisuru,Westlands,None,5,,400000,House,Rent
Nyari estate - red hill drive,"Nyari, Westlands",None,4,4,530000,House,Rent
Kiambu Road,,5000 ft²,4,5,420000,House,Rent
Kiambu Road,,5000 ft²,4,5,400000,House,Rent
Off Langata Road,Karen,None,5,5,460000,House,Rent
90,"Loresho Road, Loresho, Westlands",None,5,5,400000,House,Rent
Kitisuru,Westlands,None,7,7,500000,House,Rent
Karen plains,Karen,1 ac,5,5,400000,House,Rent
Kitisuru,Westlands,None,4,3,200000,House,Rent
Ngong,,None,4,4,70000,House,Rent
Kitisuru,Westlands,None,7,8,500000,House,Rent
Karen,,None,4,4,250000,House,Rent
01,Kiambu Road,None,4,5,165000,House,Rent
Lavington Nairobi,Lavington,None,4,5,400000,House,Rent
Karen,,None,4,4,250000,House,Rent
Cianda,,None,4,4,100000,House,Rent
Mukoma,Karen,None,2,2,140000,House,Rent
Utumishi,Kitengela,450 m²,3,3,50000,House,Rent
Kitisuru,Westlands,None,6,6,500000,House,Rent
01,"kiambu road, Kiambu Road",None,4,4,230000,House,Rent
Rosslyn lone tree,"Rosslyn, Westlands",None,5,4,450000,House,Rent
Karen,,None,4,4,160000,House,Rent
Old Muthaiga,Muthaiga,None,5,5,630000,House,Rent
Nyali0,"Nyali, Nyali Area",None,4,3,75000,House,Rent
Karen,,None,2,1,130000,House,Rent
Bogani,Karen,None,3,2,200000,House,Rent
Spring Valley,Westlands,None,5,6,590000,House,Rent
Windy Ridge,Karen,None,4,4,400000,House,Rent
Runda,Westlands,None,5,5,500000,House,Rent
Windy Ridge,Karen,1 ac,5,5,350000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,6,6,400000,House,Rent
Runda,Westlands,None,5,5,500000,House,Rent
Nyari,Westlands,None,5,5,600000,House,Rent
Runda,Westlands,None,4,4,350000,House,Rent
Runda,Westlands,None,6,7,420000,House,Rent
Brookside,Westlands,None,4,5,300000,House,Rent
Runda,Westlands,None,4,,350000,House,Rent
Runda,Westlands,None,5,6,400000,House,Rent
6,"Benin drive, Runda, Westlands",300 m²,4,5,280000,House,Rent
ngecha,"Kitisuru, Westlands",None,3,2,180000,House,Rent
Runda,Westlands,None,2,2,110000,House,Rent
Runda,Westlands,None,4,5,350000,House,Rent
Karen,,None,5,5,400000,House,Rent
Kiambu Road,,None,4,4,235000,House,Rent
Fourways,Kiambu Road,None,4,4,170000,House,Rent
Lavington,,None,5,6,420000,House,Rent
Karen,,None,4,5,300000,House,Rent
Kiambu Road,,None,3,3,220000,House,Rent
Kiambu Road,,None,4,4,190000,House,Rent
Kiambu Road,,None,3,3,200000,House,Rent
Kiambu Road,,None,4,3,250000,House,Rent
Kiambu Road,,None,3,3,200000,House,Rent
Kiambu Road,,None,4,4,260000,House,Rent
kiambu road,Kiambu Road,None,4,4,165000,House,Rent
Kiambu Road,,None,4,4,160000,House,Rent
Kiambu Road,,None,4,4,235000,House,Rent
Kiambu Road,,None,4,4,380000,House,Rent
Kiambu Road,,None,3,3,230000,House,Rent
Kiambu Road,,None,4,4,310000,House,Rent
Gigiri,Westlands,None,5,5,325000,House,Rent
Runda,Westlands,None,5,5,400000,House,Rent
Runda,Westlands,None,4,4,300000,House,Rent
Spring Valley,Westlands,None,5,5,330000,House,Rent
Runda,Westlands,None,5,5,500000,House,Rent
Rosslyn,Westlands,None,4,4,350000,House,Rent
area,"Yaya centre, Kilimani",None,4,4,300000,House,Rent
Rosslyn,Westlands,None,5,5,660000,House,Rent
Runda,Westlands,None,2,2,130000,House,Rent
Runda,Westlands,None,4,4,500000,House,Rent
Runda,Westlands,None,4,4,300000,House,Rent
Karen,,None,5,6,350000,House,Rent
Karen,,None,5,6,350000,House,Rent
Lower Kabete,Westlands,None,4,3,350000,House,Rent
Garden Estate,Roysambu,None,3,2,130000,House,Rent
67,Lavington,None,5,5,200000,House,Rent
90,"Loresho Road, Loresho, Westlands",None,5,4,250000,House,Rent
Karen plains,Karen,1 m²,5,5,350000,House,Rent
Runda,Westlands,None,5,5,500000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Runda,Westlands,None,5,5,350000,House,Rent
Runda,Westlands,None,3,3,320000,House,Rent
Loresho,Westlands,None,4,4,350000,House,Rent
Rosslyn,Westlands,2023 m²,5,6,560000,House,Rent
Loresho,Westlands,None,4,4,350000,House,Rent
Loresho,Westlands,None,5,5,400000,House,Rent
Ridgeways,,None,3,3,390000,House,Rent
Runda,Westlands,None,4,5,450000,House,Rent
Rosslyn,Westlands,None,4,4,350000,House,Rent
Rosslyn,Westlands,None,5,5,400000,House,Rent
Nyari,Westlands,None,5,5,600000,House,Rent
Nyari,Westlands,None,2,2,190000,House,Rent
Rosslyn,Westlands,None,5,5,450000,House,Rent
Lavington,,None,5,6,400000,House,Rent
Lower Kabete,Westlands,None,4,3,350000,House,Rent
Gigiri,Westlands,None,2,,200000,House,Rent
Karen,,None,4,4,350000,House,Rent
Karen,,None,4,4,400000,House,Rent
Karen,,None,5,5,450000,House,Rent
Karen,,None,5,5,400000,House,Rent
88,"Loresho Road, Loresho, Westlands",None,5,5,250000,House,Rent
kitisuru,"Kitisuru, Westlands",None,6,7,500000,House,Rent
99,"Kaptagat Road 66, Loresho, Westlands",None,5,5,250000,House,Rent
Karen,,None,7,7,600000,House,Rent
Kitisuru,Westlands,None,6,6,500000,House,Rent
Runda,Westlands,None,6,6,280000,House,Rent
Kiambu Road,,None,4,4,350000,House,Rent
Thigiri,Westlands,None,4,4,570000,House,Rent
Kitisuru,Westlands,None,4,5,390000,House,Rent
Nyali,Nyali Area,4000 ft²,4,4,300000,House,Rent
Kcb,Karen,None,5,5,650000,House,Rent
Ndege road,Karen,None,6,6,500000,House,Rent
Off Langata road,Karen,None,5,5,460000,House,Rent
Nyali Mombasa,"Nyali Area, Nyali",None,10,10,230000,House,Rent
Bamburi,,None,4,4,70000,House,Rent
